Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année,Rang,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts,J1_x,J2_x,J3_x,J4_x,J5_x,J6_x,J7_x,J8_x,J9_x,J10_x,J11_x,J12_x,J13_x,J14_x,J15_x,J16_x,J17_x,J18_x,J19_x,J20_x,J21_x,J22_x,J23_x,J24_x,J25_x,J26_x,J1_y,J2_y,J3_y,J4_y,J5_y,J6_y,J7_y,J8_y,J9_y,J10_y,J11_y,J12_y,J13_y,J14_y,J15_y,J16_y,J17_y,J18_y,J19_y,J20_y,J21_y,J22_y,J23_y,J24_y,J25_y,J26_y,JR1,JR2,JR3
RC Toulon,2008,32.0,8,Franck Azéma,Stade Mayol. Toulon,18200.0,2021,8,26,13,2,11,53,45,4,5,572,504,68,65,8,11,8,10,11,9,11,13,11,12,11,11,11.0,11.0,12.0,13.0,14.0,12.0,12.0,12.0,9.0,9.0,8.0,8.0,7.0,8.0,N,D,V,D,D,V,D,D,V,D,V,N,R,R,R,D,D,V,D,V,D,V,V,V,V,D,V,V,V
Lyon OU,2016,36.0,9,Pierre Mignoni,Matmut Stadium Gerland. Lyon,35029.0,2021,9,26,13,0,13,67,53,6,6,637,558,79,64,4,6,2,3,6,3,3,3,6,4,5,4,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0,5.0,8.0,9.0,V,D,V,D,D,V,V,D,D,V,D,V,D,V,V,V,V,D,V,D,,D,V,V,D,D,,,D
Montpellier HR,2003,28.6,10,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2021,2,26,15,2,9,57,50,4,6,619,503,116,74,7,4,7,9,7,8,9,8,5,3,3,3,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,N,V,D,D,V,D,D,V,V,V,V,V,V,R,R,V,V,N,V,D,V,V,D,D,V,D,,D,V
CA Brive,2019,17.6,11,Jeremy Davidson,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2021,12,26,9,1,16,44,62,4,4,453,631,-178,46,1,8,3,5,3,5,6,9,10,10,10,12,12.0,12.0,13.0,11.0,12.0,11.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,V,D,V,D,V,D,D,D,D,V,D,D,R,D,D,V,D,N,V,D,,D,D,D,D,V,V,,V
Section paloise,2015,22.6,12,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2021,10,26,11,1,14,52,76,1,3,568,664,-96,50,10,5,11,7,5,7,8,11,9,9,9,9,9.0,8.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,D,V,D,V,V,D,D,D,V,V,D,N,R,V,D,V,D,V,D,V,,V,D,D,D,D,D,,V
USA Perpignan,2021,17.4,15,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2021,13,26,9,0,17,48,75,2,5,491,664,-173,43,14,9,12,8,10,12,13,14,13,13,13,13,13.0,13.0,11.0,12.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,D,V,D,V,D,D,D,D,V,D,V,D,D,D,V,D,V,D,D,V,,D,D,V,D,V,,,D
Biarritz olympique,2021,12.8,17,Matthew Clarkin,Parc des sports d'Aguiléra. Biarritz,13400.0,2021,14,26,5,0,21,49,115,1,3,449,885,-436,24,3,10,5,11,12,14,14,12,14,14,14,14,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,V,D,V,D,D,D,D,V,D,D,V,D,D,D,D,D,V,D,D,D,,D,D,D,D,D,,,D
Castres olympique,1989,,1,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12500.0,2022,9,26,13,1,12,43,58,1,2,532,635,-103,57,13,6,12,8,9,9,7,7,5,10,12,11,12.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,9.0,D,V,D,V,D,V,V,D,V,D,D,V,D,N,D,V,D,D,D,V,V,V,V,D,V,V,,,
Montpellier HR,2003,,2,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2022,11,26,11,0,15,68,62,4,6,624,617,7,54,11,4,3,2,3,4,8,11,11,7,5,5,4.0,7.0,6.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,D,V,V,V,D,D,D,D,V,V,V,D,V,D,V,D,D,D,D,V,V,D,D,D,V,D,,,
Union Bordeaux Bègles,2011,,3,Julien Laïrle  Frédéric Charrier,Stade Chaban-Delmas. Bordeaux,34694.0,2022,6,26,13,1,12,53,48,4,5,576,501,75,63,8,13,9,13,7,12,9,10,10,11,11,8,7.0,6.0,4.0,6.0,7.0,7.0,6.0,5.0,5.0,7.0,4.0,4.0,5.0,6.0,D,D,V,D,V,D,V,N,V,D,D,V,V,V,V,D,D,V,V,V,D,D,V,D,V,D,,,
Stade toulousain,1907,,4,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2022,1,26,17,1,8,76,44,9,2,682,474,208,81,7,1,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,V,V,D,V,V,V,V,V,D,N,D,V,V,V,D,V,V,D,V,V,D,V,D,V,D,V,,,
Stade rochelais,2014,,5,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16000.0,2022,2,26,17,0,9,75,48,7,3,673,479,194,78,5,2,1,3,2,3,2,3,3,2,2,4,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,V,V,V,D,V,D,V,D,D,V,V,D,D,V,V,D,D,V,V,V,V,V,V,V,D,V,,,
Racing 92,2009,,6,Laurent Travers,Paris La Défense Arena. Nanterre,32000.0,2022,5,26,14,1,11,80,77,5,3,734,684,50,66,2,8,4,9,8,8,11,8,6,3,3,2,3.0,3.0,5.0,4.0,5.0,5.0,7.0,8.0,7.0,6.0,7.0,4.0,4.0,5.0,V,D,V,D,D,V,D,V,V,V,V,V,D,N,D,V,D,V,D,D,V,V,D,V,V,D,,,
ASM Clermont,1925,,7,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2022,10,26,11,1,14,68,67,4,6,588,627,-39,56,12,7,10,4,4,6,4,6,7,9,10,10,10.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,D,V,D,V,V,D,V,N,D,D,D,V,D,D,V,D,V,D,V,D,V,D,D,V,D,V,,,
RC Toulon,2008,,8,Pierre Mignoni,Stade Mayol. Toulon,18200.0,2022,7,26,14,0,12,65,57,3,2,588,557,31,61,1,10,7,7,5,2,5,4,4,8,7,9,8.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,6.0,4.0,5.0,7.0,8.0,7.0,V,D,V,D,V,V,D,V,D,D,V,D,V,D,D,V,V,V,D,V,V,V,D,D,D,V,,,
Lyon OU,2016,,9,Xavier Garbajosa,Matmut Stadium Gerland. Lyon,35029.0,2022,3,26,14,1,11,81,60,4,5,690,626,64,67,4,5,11,5,12,10,7,5,9,5,4,6,9.0,9.0,8.0,7.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,4.0,6.0,3.0,V,D,D,V,D,V,V,V,D,V,V,D,D,D,V,V,V,V,V,D,D,D,D,V,N,V,,,
Section paloise,2015,,10,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2022,12,26,10,1,15,64,72,5,5,591,634,-43,52,6,12,6,11,14,14,13,13,12,12,9,11,11.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,V,D,V,D,D,D,D,D,V,V,V,D,N,D,D,D,V,D,D,D,V,V,D,V,D,D,,,
Stade français Paris,1997,,11,Gonzalo Quesada,Stade Jean-Bouin. Paris,20000.0,2022,4,26,13,2,11,63,48,5,6,616,480,136,67,3,9,5,6,10,5,3,2,2,4,6,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,V,D,V,D,D,V,V,V,D,N,D,V,V,V,V,D,V,D,V,D,D,V,V,D,N,D,,,
CA Brive,2019,,12,Patrice Collazo,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2022,14,26,7,0,19,41,85,1,7,440,731,-291,36,10,3,8,12,6,11,12,12,14,14,14,14,14.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,D,V,D,D,V,D,D,D,D,D,D,D,V,V,V,D,D,D,D,D,D,D,V,V,D,D,,,
USA Perpignan,2021,,13,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2022,13,26,10,0,16,54,87,0,3,503,726,-223,43,9,14,14,14,13,13,14,14,13,13,13,13,13.0,14.0,14.0,14.0,14.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,D,D,D,V,V,D,D,D,V,D,V,D,D,D,D,V,V,V,D,V,D,D,V,D,V,D,,,
Aviron bayonnais,2022,,16,Grégory Patat,Stade Jean-Dauger. Bayonne,18069.0,2022,8,26,13,1,12,57,75,2,2,596,662,-66,58,14,11,13,10,11,7,10,9,8,6,8,7,6.0,5.0,7.0,5.0,6.0,6.0,5.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,D,V,D,V,D,V,D,V,V,V,D,V,N,V,D,V,D,V,V,D,D,D,V,D,V,D,,,
Stade toulousain,1907,46.3,1,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2023,1,26,16,1,9,103,72,7,3,765,592,173,76,13,7,5,5,6,5,7,6,6,7,7,4,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,D,V,V,V,D,V,D,V,D,V,D,V,V,V,V,V,V,D,D,V,D,V,V,V,N,D,,,
Stade rochelais,2014,34.9,2,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16700.0,2023,5,26,13,1,12,69,49,5,7,595,496,99,66,10,11,9,11,12,10,8,11,9,9,8,8,8.0,8.0,9.0,9.0,7.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,D,V,D,D,D,V,V,D,V,D,V,V,D,V,D,D,V,V,D,V,D,V,D,V,N,V,,,
Lyon OU,2016,37.1,3,Fabien Gengenbacher,Matmut Stadium Gerland. Lyon,35029.0,2023,11,26,12,0,14,72,90,5,2,630,754,-124,55,1,9,8,6,8,9,12,10,12,12,12,13,11.0,12.0,11.0,10.0,11.0,10.0,12.0,12.0,11.0,10.0,12.0,12.0,12.0,11.0,V,D,D,V,D,D,D,V,D,D,V,D,V,D,V,V,D,V,D,V,D,V,D,V,D,V,,,
Stade français Paris,1997,45.3,4,Laurent Labit,Stade Jean-Bouin. Paris,20000.0,2023,2,26,17,1,8,57,49,4,1,539,511,28,75,2,1,1,4,3,1,1,3,5,3,5,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,V,V,V,D,V,V,D,D,V,V,D,N,V,V,V,V,V,D,V,V,V,D,D,V,D,V,,,
Racing 92,2009,32.1,5,Stuart Lancaster,Paris La Défense Arena. Nanterre,32000.0,2023,6,26,13,0,13,79,56,5,5,622,546,76,62,6,2,4,3,2,3,2,1,1,1,1,1,1.0,4.0,4.0,6.0,6.0,6.0,4.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,V,D,V,V,V,D,V,V,D,V,D,V,D,D,D,D,D,V,V,V,V,D,D,D,V,D,,,
Union Bordeaux Bègles,2011,32.9,6,Yannick Bru,Stade Chaban-Delmas. Bordeaux,28500.0,2023,3,26,15,0,11,80,65,5,4,677,558,119,69,9,5,7,8,7,8,10,7,7,4,2,2,3.0,3.0,3.0,4.0,3.0,4.0,3.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,D,V,V,D,V,D,D,V,V,V,V,V,D,V,D,D,V,D,V,D,V,V,V,D,D,V,,,
RC Toulon,2008,39.6,7,Pierre Mignoni,Stade Mayol. Toulon,18200.0,2023,4,26,15,0,11,72,58,5,4,704,519,185,69,11,13,10,7,9,7,5,4,2,5,3,5,5.0,5.0,6.0,7.0,5.0,8.0,5.0,4.0,4.0,6.0,4.0,4.0,3.0,4.0,D,V,D,V,D,V,V,V,V,D,V,D,V,D,D,D,V,D,V,V,V,D,V,V,V,D,,,
Aviron bayonnais,2022,27.3,8,Grégory Patat,Stade Jean-Dauger. Bayonne,18069.0,2023,12,26,11,0,15,64,75,2,6,572,669,-97,52,3,6,11,9,10,11,9,12,10,10,10,10,10.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,V,D,D,V,D,D,V,D,V,D,V,D,V,D,V,D,V,D,V,D,D,D,V,V,D,D,,,
Castres olympique,1989,24.7,9,Jeremy Davidson,Stade Pierre-Fabre. Castres,12500.0,2023,7,26,13,0,13,69,77,4,6,643,642,1,62,7,4,3,2,5,4,3,5,3,6,6,7,7.0,7.0,5.0,3.0,5.0,5.0,7.0,8.0,9.0,8.0,8.0,10.0,8.0,7.0,V,D,V,V,D,V,V,D,V,D,D,D,D,V,V,V,D,D,D,D,V,D,V,D,V,V,,,
ASM Clermont,1925,34.1,10,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2023,8,26,12,2,12,73,77,6,3,621,671,-50,61,12,8,6,10,4,6,6,8,8,8,9,9,9.0,6.0,8.0,8.0,10.0,11.0,10.0,11.0,12.0,11.0,10.0,8.0,10.0,8.0,D,V,V,D,V,V,D,D,V,D,D,N,V,V,D,D,D,N,V,D,D,V,V,V,D,V,,,
Montpellier HR,2003,30.4,11,Patrice Collazo,GGL Stadium. Montpellier,15697.0,2023,13,26,9,0,17,60,79,1,7,542,655,-113,44,5,10,13,12,13,13,14,14,14,14,14,14,14.0,14.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,V,D,D,D,D,D,D,D,D,V,D,V,V,D,V,V,V,V,D,D,D,D,D,D,V,D,,,
Section paloise,2015,28.2,12,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2023,9,26,13,0,13,70,76,3,5,630,609,21,60,8,3,2,1,1,2,4,2,4,2,4,6,6.0,9.0,7.0,5.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,7.0,9.0,9.0,D,V,V,V,V,V,D,V,D,V,D,D,D,D,V,V,D,V,D,D,V,D,V,D,D,V,,,
USA Perpignan,2021,21.0,13,Franck Azéma,Stade Aimé-Giral. Perpignan,14593.0,2023,10,26,13,0,13,80,85,5,1,634,701,-67,58,14,14,14,14,14,14,13,13,13,13,13,11,12.0,11.0,12.0,12.0,13.0,13.0,11.0,9.0,8.0,7.0,9.0,9.0,7.0,10.0,D,D,D,D,V,D,V,D,D,V,V,V,D,V,D,V,D,V,V,V,V,V,D,D,V,D,,,
Oyonnax Rugby,2023,17.0,15,Joe El Abd,Stade Charles-Mathon. Oyonnax,11400.0,2023,14,26,7,1,18,58,99,0,4,539,790,-251,34,4,12,12,13,11,12,11,9,11,11,11,12,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,V,D,D,D,V,D,V,V,D,D,V,D,D,D,D,D,D,N,D,D,D,V,D,D,V,D,,,
Stade toulousain,1907,49.0,1,Ugo Mola,Stade Ernest-Wallon. Toulouse,18784.0,2024,2,12,8,1,3,43,22,4,3,347,188,159,41,2,1,1,2,5,2,1,1,1,1,1,2,,,,,,,,,,,,,,,V,V,V,D,D,V,V,V,D,V,V,N,,,,,,,,,,,,,,,,,
Stade français Paris,1997,45.0,2,Paul Gustard,Stade Jean-Bouin. Paris,19607.0,2024,11,12,5,0,7,30,37,2,1,262,304,-42,23,12,11,8,13,11,13,13,12,13,10,12,10,,,,,,,,,,,,,,,D,V,D,D,V,D,D,V,D,V,D,V,,,,,,,,,,,,,,,,,
Union Bordeaux Bègles,2011,30.0,3,Yannick Bru,Stade Chaban-Delmas. Bordeaux,34635.0,2024,1,13,10,0,3,50,34,3,2,384,264,120,45,3,7,2,1,1,1,2,2,2,2,2,1,,,,,,,,,,,,,,,V,D,V,V,V,V,D,V,D,V,V,V,V,,,,,,,,,,,,,,,,
RC Toulon,2008,35.0,4,Pierre Mignoni,Stade Mayol. Toulon,16437.0,2024,3,13,8,0,5,37,30,3,3,327,279,48,38,11,6,6,3,4,5,4,5,5,4,4,3,,,,,,,,,,,,,,,D,V,V,V,D,D,V,D,V,V,V,V,D,,,,,,,,,,,,,,,,
Stade rochelais,2014,37.0,5,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16689.0,2024,6,12,7,0,5,36,29,3,1,287,272,15,32,4,10,5,4,2,3,3,4,3,3,6,6,,,,,,,,,,,,,,,V,D,V,V,V,D,V,D,V,D,D,V,,,,,,,,,,,,,,,,,
Racing 92,2009,27.3,6,Stuart Lancaster,Paris La Défense Arena. Nanterre,30680.0,2024,9,13,5,1,7,36,36,0,4,321,335,-14,26,9,4,11,11,10,9,10,8,8,8,8,9,,,,,,,,,,,,,,,D,V,D,D,V,V,D,V,V,D,D,D,N,,,,,,,,,,,,,,,,
Castres olympique,1989,25.0,7,Jeremy Davidson,Stade Pierre-Fabre. Castres,11778.0,2024,8,13,6,0,7,37,39,1,2,324,363,-39,27,6,5,4,6,3,7,6,7,7,5,7,7,,,,,,,,,,,,,,,V,D,V,D,V,D,V,D,V,V,D,D,D,,,,,,,,,,,,,,,,
ASM Clermont,1925,34.0,8,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19357.0,2024,5,13,7,0,6,43,34,4,2,331,319,12,34,1,3,3,7,6,8,5,6,6,6,3,5,,,,,,,,,,,,,,,V,D,V,D,V,D,V,D,V,V,V,D,D,,,,,,,,,,,,,,,,
Section paloise,2015,28.0,9,Sébastien Piqueronies,Stade du Hameau. Pau,14999.0,2024,10,13,5,0,8,35,48,3,1,304,369,-65,24,14,9,12,8,8,6,9,10,12,13,10,13,,,,,,,,,,,,,,,D,V,D,V,D,V,D,D,D,D,V,D,V,,,,,,,,,,,,,,,,
USA Perpignan,2021,22.5,10,Franck Azéma,Stade Aimé-Giral. Perpignan,14727.0,2024,13,12,4,0,8,19,34,2,1,207,309,-102,19,8,13,14,12,9,12,11,13,9,11,11,12,,,,,,,,,,,,,,,D,D,D,V,V,D,V,D,V,D,D,D,,,,,,,,,,,,,,,,,
Lyon OU,2016,35.0,11,Karim Ghezal,Matmut Stadium Gerland. Lyon,35052.0,2024,12,13,4,2,7,36,40,1,1,324,362,-38,22,5,2,7,5,7,4,8,9,10,12,13,11,,,,,,,,,,,,,,,V,V,D,V,D,V,D,D,D,D,D,N,N,,,,,,,,,,,,,,,,
Aviron bayonnais,2022,30.0,12,Grégory Patat,Stade Jean-Dauger. Bayonne,14537.0,2024,4,13,9,0,4,39,39,1,1,345,306,39,38,7,12,13,9,12,10,7,3,4,7,5,4,,,,,,,,,,,,,,,V,D,D,V,D,V,V,V,V,D,V,V,V,,,,,,,,,,,,,,,,
Montpellier HR,2003,28.0,13,Joan Caudullo,GGL Stadium. Montpellier,14392.0,2024,7,13,6,0,7,24,24,1,4,270,241,29,29,10,8,10,10,13,11,12,11,11,9,9,8,,,,,,,,,,,,,,,D,V,D,D,D,V,D,V,D,V,D,V,V,,,,,,,,,,,,,,,,
RC Vannes,2024,19.0,16,Jean-Noël Spitzer,Stade de la Rabine. Vannes,11865.0,2024,14,13,3,0,10,38,57,0,3,323,445,-122,15,13,14,9,14,14,14,14,14,14,14,14,14,,,,,,,,,,,,,,,D,D,V,D,D,D,D,V,D,D,V,D,D,,,,,,,,,,,,,,,,
